Name,Team,URL,Sprint,Climber,Hills,GC,Time Trial,One Day Races
jesus herrada lopez,,https://www.procyclingstats.com/rider/jesus-herrada-lopez,481,2026,1366,2285,912,2021
juri hollmann,,https://www.procyclingstats.com/rider/juri-hollmann,1,18,31,95,146,101
laurens huys,,https://www.procyclingstats.com/rider/laurens-huys,18,188,129,244,4,90
unai iribar jauregi,,https://www.procyclingstats.com/rider/unai-iribar-jauregi,3,72,39,19,1,58
xabier isasa larranaga,,https://www.procyclingstats.com/rider/xabier-isasa-larranaga,,18,57,11,22,
ion izagirre,,https://www.procyclingstats.com/rider/ion-izagirre,172,4284,2224,5371,3014,1777
txomin juaristi,,https://www.procyclingstats.com/rider/txomin-juaristi,9,119,88,249,257,44
rainer kepplinger,,https://www.procyclingstats.com/rider/rainer-kepplinger,20,82,50,229,155,10
james knox,,https://www.procyclingstats.com/rider/james-knox,45,794,350,1142,52,137
patrick konrad,,https://www.procyclingstats.com/rider/patrick-konrad,330,2628,1583,2492,452,1456
andreas kron,,https://www.procyclingstats.com/rider/andreas-kron,6,810,1024,449,6,789
steven kruijswijk,,https://www.procyclingstats.com/rider/steven-kruijswijk,302,3947,1300,4379,1440,339
stefan kung,,https://www.procyclingstats.com/rider/stefan-kung,577,464,1506,1634,5240,2679
sepp kuss,,https://www.procyclingstats.com/rider/sepp-kuss,42,3100,538,2442,314,188
victor lafay,,https://www.procyclingstats.com/rider/victor-lafay,25,602,468,376,13,479
mikel landa,,https://www.procyclingstats.com/rider/mikel-landa,117,6584,1100,5981,298,974
jonathan lastra,,https://www.procyclingstats.com/rider/jonathan-lastra,124,594,584,768,11,429
oier lazkano,,https://www.procyclingstats.com/rider/oier-lazkano,66,220,342,408,195,439
mathis le berre,,https://www.procyclingstats.com/rider/mathis-le-berre,30,18,96,76,,114
william junior lecerf,,https://www.procyclingstats.com/rider/william-junior-lecerf,6,218,188,222,62,48
gijs leemreize,,https://www.procyclingstats.com/rider/gijs-leemreize,9,336,156,229,40,32
enzo leijnse,,https://www.procyclingstats.com/rider/enzo-leijnse,20,5,6,15,15,24
florian lipowitz,,https://www.procyclingstats.com/rider/florian-lipowitz,3,352,78,460,59,58
arjen livyns,,https://www.procyclingstats.com/rider/arjen-livyns,188,58,197,60,43,488
harold martin lopez,,https://www.procyclingstats.com/rider/harold-martin-lopez,18,188,128,268,15,26
arne marit,,https://www.procyclingstats.com/rider/arne-marit,598,12,334,60,3,640
guillaume martin,,https://www.procyclingstats.com/rider/guillaume-martin,81,3684,1647,3592,10,2279
gotzon martin,,https://www.procyclingstats.com/rider/gotzon-martin,92,162,296,142,,317
daniel felipe martinez,,https://www.procyclingstats.com/rider/daniel-felipe-martinez,34,2408,736,2809,1203,728
enric mas,,https://www.procyclingstats.com/rider/enric-mas,67,4894,1188,4293,656,742
luis angel mate,,https://www.procyclingstats.com/rider/luis-angel-mate,342,721,426,1134,60,526
brandon mcnulty,,https://www.procyclingstats.com/rider/brandon-mcnulty,54,1729,876,2033,1885,911
louis meintjes,,https://www.procyclingstats.com/rider/louis-meintjes,100,3232,464,3124,347,664
xandro meurisse,,https://www.procyclingstats.com/rider/xandro-meurisse,454,694,894,1355,148,897
fran miholjevic,,https://www.procyclingstats.com/rider/fran-miholjevic,4,20,58,54,142,75
pau miquel delgado,,https://www.procyclingstats.com/rider/pau-miquel-delgado,33,38,202,30,2,220
sylvain moniquet,,https://www.procyclingstats.com/rider/sylvain-moniquet,9,452,293,525,67,249
tim naberman,,https://www.procyclingstats.com/rider/tim-naberman,3,3,3,15,,15
jhonatan narvaez,,https://www.procyclingstats.com/rider/jhonatan-narvaez,296,678,1058,947,23,1092
ben o connor,,https://www.procyclingstats.com/rider/ben-o-connor,46,2572,731,2992,550,481
nelson oliveira,,https://www.procyclingstats.com/rider/nelson-oliveira,102,544,873,1179,3672,580
sam oomen,,https://www.procyclingstats.com/rider/sam-oomen,144,1232,650,1830,197,465
lukasz owsian,,https://www.procyclingstats.com/rider/lukasz-owsian,312,83,74,588,98,356
quentin pacher,,https://www.procyclingstats.com/rider/quentin-pacher,294,908,1400,956,122,809
tom paquot,,https://www.procyclingstats.com/rider/tom-paquot,20,16,58,27,3,129
valentin paret peintre,,https://www.procyclingstats.com/rider/valentin-paret-peintre,14,499,120,357,1,46
jose felix parra,,https://www.procyclingstats.com/rider/jose-felix-parra,7,216,62,236,,87
casper pedersen,,https://www.procyclingstats.com/rider/casper-pedersen,326,81,223,437,302,450
simone petilli,,https://www.procyclingstats.com/rider/simone-petilli,172,462,120,455,39,445
edward planckaert,,https://www.procyclingstats.com/rider/edward-planckaert,536,30,179,167,18,527
max poole,,https://www.procyclingstats.com/rider/max-poole,6,376,141,616,123,
nairo quintana,,https://www.procyclingstats.com/rider/nairo-quintana,90,7824,1930,9371,1274,765
darren rafferty,,https://www.procyclingstats.com/rider/darren-rafferty,1,90,54,88,113,106
nadav raisberg,,https://www.procyclingstats.com/rider/nadav-raisberg,4,6,36,,20,35
matthew riccitello,,https://www.procyclingstats.com/rider/matthew-riccitello,8,418,24,361,160,28
michel ries,,https://www.procyclingstats.com/rider/michel-ries,1,160,14,216,87,120
oscar riesebeek,,https://www.procyclingstats.com/rider/oscar-riesebeek,350,150,284,446,108,596
brandon smith rivera vargas,,https://www.procyclingstats.com/rider/brandon-smith-rivera-vargas,29,124,125,361,240,42
remy rochas,,https://www.procyclingstats.com/rider/remy-rochas,32,357,360,652,88,211
carlos rodriguez cano,,https://www.procyclingstats.com/rider/carlos-rodriguez-cano,14,2028,444,2063,377,481
oscar rodriguez,,https://www.procyclingstats.com/rider/oscar-rodriguez,10,771,176,781,161,172
cristian rodriguez,,https://www.procyclingstats.com/rider/cristian-rodriguez,2,844,330,1152,36,289
primoz roglic,,https://www.procyclingstats.com/rider/primoz-roglic,163,7366,2736,7404,5266,1862
lorenzo rota,,https://www.procyclingstats.com/rider/lorenzo-rota,166,1080,1034,782,23,1676
einer rubio,,https://www.procyclingstats.com/rider/einer-rubio,8,1382,281,1262,61,107
ibon ruiz,,https://www.procyclingstats.com/rider/ibon-ruiz,4,20,24,23,2,20
pelayo sanchez mayo,,https://www.procyclingstats.com/rider/pelayo-sanchez-mayo,0,426,223,205,68,202
ide schelling,,https://www.procyclingstats.com/rider/ide-schelling,81,242,610,255,129,440
mauro schmid,,https://www.procyclingstats.com/rider/mauro-schmid,6,628,696,876,378,295
callum scotson,,https://www.procyclingstats.com/rider/callum-scotson,40,166,96,368,102,32
eduardo sepulveda,,https://www.procyclingstats.com/rider/eduardo-sepulveda,154,628,224,1497,410,549
james shaw,,https://www.procyclingstats.com/rider/james-shaw,44,373,223,508,116,123
riley sheehan,,https://www.procyclingstats.com/rider/riley-sheehan,90,36,187,41,50,470
pavel sivakov,,https://www.procyclingstats.com/rider/pavel-sivakov,83,1661,526,2130,500,868
mattias skjelmose jensen,,https://www.procyclingstats.com/rider/mattias-skjelmose-jensen,118,1712,1158,1885,930,1031
marc soler,,https://www.procyclingstats.com/rider/marc-soler,30,2582,1148,2371,763,292
antonio soto,,https://www.procyclingstats.com/rider/antonio-soto,108,66,290,67,40,218
corbin strong,,https://www.procyclingstats.com/rider/corbin-strong,252,264,1081,334,30,1004
jasha sutterlin,,https://www.procyclingstats.com/rider/jasha-sutterlin,224,66,410,697,1083,340
harry sweeny,,https://www.procyclingstats.com/rider/harry-sweeny,63,92,224,148,69,142
rein taaramae,,https://www.procyclingstats.com/rider/rein-taaramae,554,1823,662,2974,1547,737
joshua tarling,,https://www.procyclingstats.com/rider/joshua-tarling,15,6,26,135,890,121
harold tejada,,https://www.procyclingstats.com/rider/harold-tejada,12,420,408,505,191,81
dylan teuns,,https://www.procyclingstats.com/rider/dylan-teuns,435,2728,2230,2686,528,2031
reuben thompson,,https://www.procyclingstats.com/rider/reuben-thompson,1,123,58,182,10,35
antonio tiberi,,https://www.procyclingstats.com/rider/antonio-tiberi,2,836,447,781,546,143
torstein traeen,,https://www.procyclingstats.com/rider/torstein-traeen,49,403,154,649,17,111
martijn tusveld,,https://www.procyclingstats.com/rider/martijn-tusveld,182,177,246,540,313,168
cian uijtdebroeks,,https://www.procyclingstats.com/rider/cian-uijtdebroeks,,812,188,779,88,41
santiago umba,,https://www.procyclingstats.com/rider/santiago-umba,6,97,76,113,5,40
rigoberto uran,,https://www.procyclingstats.com/rider/rigoberto-uran,744,6462,2168,5903,1804,3086
mathias vacek,,https://www.procyclingstats.com/rider/mathias-vacek,138,96,76,352,320,274
attila valter,,https://www.procyclingstats.com/rider/attila-valter,72,1133,526,1053,287,655
wout van aert,,https://www.procyclingstats.com/rider/wout-van-aert,2114,1880,3921,1171,2824,7179
dylan van baarle,,https://www.procyclingstats.com/rider/dylan-van-baarle,626,514,1468,1429,1298,2631
julius van den berg,,https://www.procyclingstats.com/rider/julius-van-den-berg,342,8,50,181,78,158
lennert van eetvelt,,https://www.procyclingstats.com/rider/lennert-van-eetvelt,12,638,146,554,87,424
mauri vansevenant,,https://www.procyclingstats.com/rider/mauri-vansevenant,23,774,510,693,35,620
